merchant_id,segment,cities,name,tier,score,top_rank,channel,phone_masked,contact_note,instagram_handle,website_domain,bnpl_status_final,reviews_count,rating,n_locations,owner_name_verified,hook_from_page,flags,score_exclusion
m_26dfd62db3,A_aesthetic_clinics,jeddah,مجمع هدى كلينك الطبي,,,,mobile_or_whatsapp,+9665•••••150,mobile in Google Maps,,,unchecked,178,3.8,1,False,False,,A: no segment signal in name or category
m_27923b8ba6,C_salla_zid_d2c,,رند البحرين يقدم أفضل العطور ومنتجات العود والبخور,,,,none,,,,,unchecked,0,,0,False,False,,C: outside KSA signal
m_280e219190,A_aesthetic_clinics,riyadh,عيادات مارلين | Marilyn Clinics,B,69,,other_phone,+9661•••••888,landline in Google Maps,,marilynclinics.com,unchecked,208,4.9,1,False,False,medical: Risk review; BNPL unchecked,
m_281a42acf5,B_custom_furniture,riyadh,طارق ستائر و مجالس,B,76,,mobile_or_whatsapp,+9665•••••231,mobile in Google Maps,,,unchecked,4,4.8,1,False,False,BNPL unchecked,
m_29352e3fb3,B_custom_furniture,riyadh,تفصيل ستائر ويفي تنجيد كنب مجلس,A,83,,mobile_or_whatsapp,+9665•••••327,mobile in Google Maps,,curtainsandmajlis.store,not_detected,8,4,1,False,True,,
m_29932ca1db,A_aesthetic_clinics,riyadh,Shaheen World Center,B,76,,mobile_or_whatsapp,+9665•••••860,mobile in Google Maps,,sites.google.com,unchecked,198,4.2,1,False,False,medical: Risk review; BNPL unchecked,
m_29c172621c,A_aesthetic_clinics,riyadh,"أفيلين الياسمين AVELINE Clinic derma , Laser Skin",B,79,,mobile_or_whatsapp,+9665•••••426,mobile in Google Maps,aveliveclinics,,unchecked,614,4.2,1,False,False,medical: Risk review; BNPL unchecked,
m_2a301bb48f,A_aesthetic_clinics,jeddah,Alalamya Poly Clinic,,,,mobile_or_whatsapp,+9665•••••333,mobile in Google Maps,apc.med,apc.med.sa,unchecked,1172,4.1,1,False,False,,A: no segment signal in name or category
m_2a57f5bccf,B_custom_furniture,riyadh,تفصيل ستائر مجالس,B,76,,mobile_or_whatsapp,+9665•••••247,mobile in Google Maps,,tafseelsatayir.com,unchecked,4,5,1,False,False,BNPL unchecked,
m_2a7b781e0e,B_custom_furniture,riyadh,محل تنجيد كنب وتفصيل كنب,A,85,,mobile_or_whatsapp,+9665•••••967,mobile in Google Maps,,,unchecked,68,4.9,1,False,False,BNPL unchecked,
m_2af4f9143c,B_custom_furniture,jeddah,السمو لديكور,,,,mobile_or_whatsapp,+9665•••••555,mobile in Google Maps,,,unchecked,86,4.8,1,False,False,,B: no segment signal in name or category
m_2b09f3ace0,B_custom_furniture,jeddah,الدار العربية للديكور,,,,mobile_or_whatsapp,+9665•••••451,mobile in Google Maps,,,unchecked,3,5,1,False,False,,B: no segment signal in name or category
m_2b5554a048,A_aesthetic_clinics,jeddah,Star Care,,,,none,,,,,unchecked,100,3,1,False,False,,A: no segment signal in name or category
m_2c234fd3ba,A_aesthetic_clinics,jeddah,Lana Plaza,C,55,,none,,,,,unchecked,88,3.8,1,False,False,medical: Risk review; BNPL unchecked,
m_2cacf65261,B_custom_furniture,jeddah,مركز ستائر فرح,B,70,,mobile_or_whatsapp,+9665•••••318,mobile in Google Maps,,,unchecked,2,3,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_2cc4f6598a,B_custom_furniture,jeddah,مكاني للاثاث,,,,none,,,,makanie.com,unchecked,69,3.1,1,False,False,,B: no segment signal in name or category
m_2cf0a2b9eb,B_custom_furniture,riyadh,محل تنجيد كنب وتفصيل كنب,A,85,,mobile_or_whatsapp,+9665•••••267,mobile in Google Maps,,,unchecked,43,5,1,False,False,BNPL unchecked,
m_2d7505de53,A_aesthetic_clinics,riyadh,عيادات رويال الطبية,,,,mobile_or_whatsapp,+9665•••••389,mobile in Google Maps,,,unchecked,618,4.3,1,False,False,,A: no segment signal in name or category
m_2e1f84564a,B_custom_furniture,jeddah,مصنع الزهراء للستائر AL zahra Factory,,,,mobile_or_whatsapp,+9665•••••207,mobile in Google Maps,,zahradecor.net,tabby,151,4.8,1,False,False,,already Tabby merchant
m_2e7923d947,A_aesthetic_clinics,riyadh,Smile Agents,A,83,,mobile_or_whatsapp,+9665•••••066,mobile in Google Maps,smileagents,smileagents.com,not_detected,3,5,1,False,True,medical: Risk review,
m_2e7edc07ac,B_custom_furniture,jeddah|riyadh,شركة ايات للستائر و الاقمشة,,,,mobile_or_whatsapp,+9665•••••280,mobile in Google Maps,,ayatcurtains.com,unchecked,725,4.4,3,False,False,,"B: multi-city company, not a local workshop"
m_2f3ce363ba,A_aesthetic_clinics,jeddah,Alzobydi Medical Center,,,,mobile_or_whatsapp,+9665•••••610,mobile in Google Maps,,,unchecked,396,3.2,1,False,False,,A: no segment signal in name or category
m_3001de8ae1,B_custom_furniture,riyadh,تفصيل ستاير تنيجد كنب مجالس,B,77,,mobile_or_whatsapp,+9665•••••331,mobile in Google Maps,,customsofacurtains.shop,not_detected,3,3.7,1,False,True,,
m_30870b1487,C_salla_zid_d2c,,دار عبدالعزيز السيف للعطور | جودة العطور و ندرة الروائح | تسوق الأن,,,,mobile_or_whatsapp,,number on the merchant website (not stored),,,not_detected,0,,0,False,False,,segment rejected: bnpl_saturation
m_30b4ca1b6c,B_custom_furniture,jeddah,Tarek Khalil Trading Est.,,,,other_phone,+9661•••••904,landline in Google Maps,,,unchecked,49,4,1,False,False,,B: no segment signal in name or category
m_30c21b370c,A_aesthetic_clinics,jeddah,Adama Clinics,B,66,,other_phone,+9661•••••000,landline in Google Maps,,,unchecked,274,4,1,False,False,medical: Risk review; BNPL unchecked,
