run_id,source_id,actor,input_file,raw_file,n_records,cost_usd,ran_on,notes
2026-09-16__keyword_probe,google_maps,compass/crawler-google-places,data/apify_inputs/probe/google_maps__keyword_probe__riyadh.json,data/raw/google_maps/2026-09-16__keyword_probe.json,140,0.56,2026-09-16,14 keywords x 10; locationQuery Riyadh (leaked into province); cost confirmed on Apify run page
2026-09-17__keyword_probe_A_circle,google_maps,compass/crawler-google-places,data/apify_inputs/probe/google_maps__keyword_probe_A__riyadh_circle.json,data/raw/google_maps/2026-09-17__keyword_probe_A_circle.json,80,0.45,2026-09-17,8 A keywords x 10; customGeolocation circle 25km; scrapeContacts=true; cost confirmed on Apify run page
2026-09-17__full_A_aesthetic_clinics__jeddah,google_maps,compass/crawler-google-places,data/apify_inputs/full/google_maps__A_aesthetic_clinics__jeddah.json,data/raw/google_maps/2026-09-17__full_A_aesthetic_clinics__jeddah.json,180,0.97,2026-09-17,full run; cost from Apify run page
2026-09-17__full_A_aesthetic_clinics__riyadh,google_maps,compass/crawler-google-places,data/apify_inputs/full/google_maps__A_aesthetic_clinics__riyadh.json,data/raw/google_maps/2026-09-17__full_A_aesthetic_clinics__riyadh.json,180,0.99,2026-09-17,full run; cost from Apify run page
2026-09-17__full_B_custom_furniture__jeddah,google_maps,compass/crawler-google-places,data/apify_inputs/full/google_maps__B_custom_furniture__jeddah.json,data/raw/google_maps/2026-09-17__full_B_custom_furniture__jeddah.json,208,0.83,2026-09-17,full run; cost from Apify run page
2026-09-17__full_B_custom_furniture__riyadh,google_maps,compass/crawler-google-places,data/apify_inputs/full/google_maps__B_custom_furniture__riyadh.json,data/raw/google_maps/2026-09-17__full_B_custom_furniture__riyadh.json,210,0.84,2026-09-17,full run; cost from Apify run page
2026-09-17__dork,salla_zid_dork,manual Google search + browser console link export,config/queries.yaml (dork),data/raw/salla_zid_dork/2026-09-17__dork.csv,43,0.00,2026-09-17,"5 queries x top 10 results; 45 links, 43 unique stores"
2026-09-17__web_fingerprint,merchant_websites,scripts/05_web_fingerprint.py (httpx),data/interim/merchants.csv,data/cache/web/,288,0.00,2026-09-17,"homepages of eligible merchants with a site or store (A 164, B 84, C 40); loaded A 109, B 46, C 16; 12 Salla sample stores checked by hand; bot challenges not bypassed"
